Nivel,Hombres,Mujeres,Brecha_%,n_hombres,n_mujeres,Ciudad,Año
5. Técnica/Tecno.,1200000.0,1000000.0,-16.666666666666664,522,663,Riohacha,2022
6. Universitaria,1500000.0,1500000.0,0.0,600,854,Riohacha,2022
7. Posgrado,3400000.0,2900000.0,-14.705882352941178,158,204,Riohacha,2022
2. Primaria,1200000.0,1100000.0,-8.333333333333332,396,223,San Andrés,2022
3. Secundaria,1200000.0,1117000.0,-6.916666666666667,529,356,San Andrés,2022
4. Media,1200000.0,1200000.0,0.0,1670,1084,San Andrés,2022
5. Técnica/Tecno.,1500000.0,1350000.0,-10.0,425,648,San Andrés,2022
6. Universitaria,2800000.0,2500000.0,-10.714285714285714,317,478,San Andrés,2022
1. Sin educación,600000.0,400000.0,-33.33333333333333,105,36,Santa Marta,2022
2. Primaria,750000.0,500000.0,-33.33333333333333,850,425,Santa Marta,2022
3. Secundaria,800000.0,500000.0,-37.5,800,417,Santa Marta,2022
4. Media,1000000.0,600000.0,-40.0,2311,1365,Santa Marta,2022
5. Técnica/Tecno.,1000000.0,1000000.0,0.0,625,708,Santa Marta,2022
6. Universitaria,1800000.0,1600000.0,-11.11111111111111,719,748,Santa Marta,2022
7. Posgrado,4000000.0,3000000.0,-25.0,171,187,Santa Marta,2022
1. Sin educación,400000.0,200000.0,-50.0,238,97,Sincelejo,2022
2. Primaria,550000.0,300000.0,-45.45454545454545,1032,524,Sincelejo,2022
3. Secundaria,550000.0,330000.0,-40.0,725,330,Sincelejo,2022
4. Media,700000.0,480000.0,-31.428571428571427,1918,1148,Sincelejo,2022
5. Técnica/Tecno.,1000000.0,1000000.0,0.0,562,710,Sincelejo,2022
6. Universitaria,1500000.0,1500000.0,0.0,679,739,Sincelejo,2022
7. Posgrado,3600000.0,3500000.0,-2.7777777777777777,186,229,Sincelejo,2022
2. Primaria,900000.0,500000.0,-44.44444444444444,422,337,Tunja,2022
3. Secundaria,1000000.0,500000.0,-50.0,353,231,Tunja,2022
4. Media,1000000.0,1000000.0,0.0,1246,938,Tunja,2022
5. Técnica/Tecno.,1200000.0,1000000.0,-16.666666666666664,452,664,Tunja,2022
6. Universitaria,1800000.0,1500000.0,-16.666666666666664,968,1216,Tunja,2022
7. Posgrado,3800000.0,3000000.0,-21.052631578947366,511,733,Tunja,2022
1. Sin educación,600000.0,360000.0,-40.0,145,57,Valledupar,2022
2. Primaria,800000.0,470000.0,-41.25,703,410,Valledupar,2022
3. Secundaria,800000.0,500000.0,-37.5,554,351,Valledupar,2022
4. Media,950000.0,600000.0,-36.84210526315789,1742,1133,Valledupar,2022
5. Técnica/Tecno.,1000000.0,1000000.0,0.0,656,777,Valledupar,2022
6. Universitaria,1600000.0,1600000.0,0.0,588,757,Valledupar,2022
7. Posgrado,3800000.0,3000000.0,-21.052631578947366,116,143,Valledupar,2022
1. Sin educación,500000.0,450000.0,-10.0,74,42,Villavicencio,2022
2. Primaria,1000000.0,600000.0,-40.0,922,528,Villavicencio,2022
3. Secundaria,1000000.0,700000.0,-30.0,604,376,Villavicencio,2022
4. Media,1117172.0,1000000.0,-10.488268592481731,1927,1387,Villavicencio,2022
5. Técnica/Tecno.,1400000.0,1080000.0,-22.857142857142858,624,749,Villavicencio,2022
6. Universitaria,2000000.0,1600000.0,-20.0,846,940,Villavicencio,2022
7. Posgrado,5000000.0,3900000.0,-22.0,265,349,Villavicencio,2022
