index,Rama,Mediana_COP,Costo_efectivo_COP,Mediana_SMMLV,Costo_SMMLV,Ciudad,Año
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",700000,1078000,0.49,0.76,Quibdó,2025
9,"Agricultura, ganadería, caza, silvicultura y pesca",400000,616000,0.28,0.43,Quibdó,2025
4,"Administración pública y defensa, educación y atención de la salud humana",2600000,4004000,1.83,2.81,Riohacha,2025
8,"Suministro de electricidad, gas, agua y gestión de desechos^",2000000,3080000,1.4,2.16,Riohacha,2025
9,Actividades financieras y de seguros,1700000,2618000,1.19,1.84,Riohacha,2025
10,Información y comunicaciones,1600000,2464000,1.12,1.73,Riohacha,2025
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1423500,2192190,1.0,1.54,Riohacha,2025
12,Actividades inmobiliarias,1100000,1694000,0.77,1.19,Riohacha,2025
1,Comercio y reparación de vehículos,1000000,1540000,0.7,1.08,Riohacha,2025
6,Construcción,900000,1386000,0.63,0.97,Riohacha,2025
0,Transporte y almacenamiento,900000,1386000,0.63,0.97,Riohacha,2025
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",800000,1232000,0.56,0.87,Riohacha,2025
11,"Agricultura, ganadería, caza, silvicultura y pesca",800000,1232000,0.56,0.87,Riohacha,2025
7,Alojamiento y servicios de comida,720000,1108800,0.51,0.78,Riohacha,2025
5,Industrias manufactureras,450000,693000,0.32,0.49,Riohacha,2025
6,"Administración pública y defensa, educación y atención de la salud humana",2800000,4312000,1.97,3.03,San Andrés,2025
2,"Suministro de electricidad, gas, agua y gestión de desechos^",2500000,3850000,1.76,2.7,San Andrés,2025
1,Información y comunicaciones,2000000,3080000,1.4,2.16,San Andrés,2025
10,Actividades financieras y de seguros,2000000,3080000,1.4,2.16,San Andrés,2025
0,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1800000,2772000,1.26,1.95,San Andrés,2025
12,Actividades inmobiliarias,1700000,2618000,1.19,1.84,San Andrés,2025
8,Industrias manufactureras,1650000,2541000,1.16,1.79,San Andrés,2025
9,Comercio y reparación de vehículos,1623500,2500190,1.14,1.76,San Andrés,2025
7,Construcción,1623500,2500190,1.14,1.76,San Andrés,2025
