MES,PET_M,Ocupados_M,Desocupados_M,PEA_M,Informales_M,TD_%,TGP_%,TO_%,Tasa_Informalidad_%,Año,Ciudad
1,0.25317741666651356,0.12558732024265248,0.017855695835717,0.1434430160783695,0.05485213471191408,12.4479366956155,56.65711340570052,49.604471795395824,43.67649107085969,2023,Armenia
2,0.25349349999990184,0.12546441661455252,0.018571343915771085,0.1440357605303236,0.055410723482881084,12.893564658799638,56.82029737661098,49.49413559503542,44.164492991755594,2023,Armenia
3,0.2538106666665761,0.12553654083284332,0.01860604719745933,0.14414258803030267,0.055017191366328745,12.908084592978057,56.79138309015938,49.46070331935936,43.825639133697514,2023,Armenia
4,0.254128249999917,0.12611258589809274,0.018506941712380747,0.1446195276104735,0.054923162027506245,12.796986698939024,56.908087790523375,49.62556736534955,43.55089671374098,2023,Armenia
5,0.25444599999988193,0.12622780732265168,0.01826118491402033,0.144488992236672,0.054513653510961914,12.638460986777893,56.785719656327494,49.60887863150148,43.18672301073821,2023,Armenia
6,0.25476383333317193,0.12637159321002908,0.01842935202825317,0.14480094523828224,0.05463015961654466,12.727369975331381,56.83732394186275,49.60342743970428,43.22977832980989,2023,Armenia
7,0.25508116666653197,0.1272413532031154,0.018450277800762416,0.14569163100387783,0.05554301677363017,12.663924258127999,57.115792948501266,49.88269219007385,43.65170235573245,2023,Armenia
8,0.25539741666651666,0.1278627576052424,0.018356422310016166,0.1462191799152586,0.05594981466615859,12.554045454676082,57.25162839300886,50.06423294100828,43.75770999628795,2023,Armenia
9,0.2557127499998615,0.12874472521988692,0.018173456400381333,0.14691818162026823,0.05627118813145925,12.369780377049125,57.45438255243347,50.347401613707824,43.707567852082505,2023,Armenia
10,0.2560264166665457,0.1290958827658425,0.01827349241137725,0.14736937517721974,0.056899830948301755,12.399789569170919,57.5602225332696,50.42287606359766,44.07563566648223,2023,Armenia
11,0.25633858333324167,0.1303482042437595,0.018273403986029835,0.14862160822978934,0.05777577537734684,12.295253835348525,57.97863368722,50.8500135051094,44.3241820725834,2023,Armenia
12,0.25664833333327813,0.1311776950816205,0.017965890183175418,0.1491435852647959,0.05738883276374649,12.046036141130715,58.11204122300735,51.111843734935114,43.74892601065935,2023,Armenia
1,0.2569562499999853,0.13226405442480615,0.018004288625369833,0.15026834305017597,0.05776366040335951,11.981424869613447,58.480127667719536,51.47337510755769,43.67298481402512,2024,Armenia
2,0.25726199999995225,0.1324402684593814,0.017979178368369,0.1504194468277504,0.05721757328792149,11.95269544433139,58.46936074032632,51.48069612278765,43.20255006540535,2024,Armenia
