index,Rama,ICE,Ocupados_M,n_muestra,poblacion_estimada,Ciudad,Año
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",50.110756324451046,0.03568165146482916,998,35681.65146482916,Cúcuta A.M.,2023
4,Transporte y almacenamiento,48.53732879365934,0.032441657568229164,821,32441.657568229166,Cúcuta A.M.,2023
7,Alojamiento y servicios de comida,47.48690402180999,0.033986960633413325,927,33986.960633413335,Cúcuta A.M.,2023
8,"Agricultura, ganadería, caza, silvicultura y pesca",47.08433389016937,0.0050348299777208325,118,5034.829977720833,Cúcuta A.M.,2023
1,"Administración pública y defensa, educación y atención de la salud humana",88.10273473392533,0.012296425805979333,1542,12296.425805979334,Florencia,2023
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",61.89557208571153,0.005349728682918417,720,5349.728682918417,Florencia,2023
2,Comercio y reparación de vehículos,55.475250926640086,0.015546051437997834,1947,15546.051437997834,Florencia,2023
7,Construcción,52.35263260999412,0.005023550297263583,602,5023.550297263583,Florencia,2023
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",50.465361349116186,0.006760846413618334,918,6760.846413618333,Florencia,2023
5,Alojamiento y servicios de comida,46.85131170861085,0.00501121121389975,687,5011.21121389975,Florencia,2023
4,Transporte y almacenamiento,46.83670611867281,0.005445444075489917,659,5445.444075489917,Florencia,2023
6,"Administración pública y defensa, educación y atención de la salud humana",90.9021506998125,0.034275583138735834,1187,34275.583138735834,Ibagué,2023
10,"Actividades profesionales, científicas, técnicas y de servicios administrativos",71.53822299049057,0.019971124643412504,701,19971.1246434125,Ibagué,2023
0,Construcción,70.38573020695176,0.016720942085441667,579,16720.942085441668,Ibagué,2023
2,Industrias manufactureras,68.7366522055333,0.0191223676935675,686,19122.3676935675,Ibagué,2023
1,Transporte y almacenamiento,66.34760824312751,0.014641436900759,522,14641.436900759,Ibagué,2023
4,Comercio y reparación de vehículos,65.51438565390445,0.042367290167653164,1527,42367.29016765317,Ibagué,2023
7,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",62.251571823336796,0.0157354017451825,572,15735.4017451825,Ibagué,2023
3,Alojamiento y servicios de comida,54.561705848483435,0.014747085559313998,528,14747.085559314,Ibagué,2023
0,"Administración pública y defensa, educación y atención de la salud humana",92.73565784138232,0.03626357906148592,2233,36263.579061485914,Manizales A.M.,2023
1,Información y comunicaciones,92.40762088392052,0.006424183074019833,384,6424.183074019833,Manizales A.M.,2023
9,Industrias manufactureras,88.25750759097734,0.032941945835411254,2072,32941.94583541125,Manizales A.M.,2023
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",84.57714705210655,0.029854121104359248,1868,29854.12110435925,Manizales A.M.,2023
6,Construcción,72.78088410293219,0.016336280431458333,975,16336.280431458334,Manizales A.M.,2023
2,Transporte y almacenamiento,70.49139860207619,0.01272030862363425,801,12720.30862363425,Manizales A.M.,2023
5,Comercio y reparación de vehículos,67.87448625023879,0.03914743398396042,2438,39147.433983960414,Manizales A.M.,2023
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",63.8567674539647,0.019637349505495835,1269,19637.349505495833,Manizales A.M.,2023
4,Alojamiento y servicios de comida,56.82008646383381,0.015123776538451001,924,15123.776538451,Manizales A.M.,2023
6,Actividades financieras y de seguros,94.31851092574391,0.0563908709763,414,56390.8709763,Medellín A.M.,2023
11,Información y comunicaciones,89.21170047826269,0.051710639856303336,410,51710.639856303336,Medellín A.M.,2023
1,"Administración pública y defensa, educación y atención de la salud humana",88.85911859615116,0.24250743446503167,1950,242507.43446503166,Medellín A.M.,2023
7,Actividades inmobiliarias,84.85492280430147,0.038584712215663335,315,38584.712215663334,Medellín A.M.,2023
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",80.5711336128589,0.2177811047808542,1809,217781.10478085416,Medellín A.M.,2023
0,Industrias manufactureras,79.62180402930667,0.336966416936615,2638,336966.416936615,Medellín A.M.,2023
10,"Suministro de electricidad, gas, agua y gestión de desechos^",76.65699465951857,0.03274686880736417,269,32746.868807364168,Medellín A.M.,2023
12,"Agricultura, ganadería, caza, silvicultura y pesca",73.2506484640374,0.011622832597489165,94,11622.832597489167,Medellín A.M.,2023
9,Construcción,72.21598394874025,0.13892729892043082,1196,138927.29892043083,Medellín A.M.,2023
3,Comercio y reparación de vehículos,68.52834315421138,0.39910824718357,3344,399108.24718357,Medellín A.M.,2023
5,Transporte y almacenamiento,64.22861700974937,0.15468794305465666,1289,154687.94305465667,Medellín A.M.,2023
8,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",62.003399441745344,0.17917904131682835,1517,179179.04131682834,Medellín A.M.,2023
4,Alojamiento y servicios de comida,61.89799699360077,0.1344108499017125,1122,134410.8499017125,Medellín A.M.,2023
3,"Administración pública y defensa, educación y atención de la salud humana",93.51024520243362,0.03127731613686992,1482,31277.31613686992,Montería,2023
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",73.43824304879854,0.013530073972286333,602,13530.073972286333,Montería,2023
6,Industrias manufactureras,64.57962242191286,0.010750361629616335,533,10750.361629616333,Montería,2023
1,Comercio y reparación de vehículos,62.862012296756355,0.03880741018153384,1840,38807.410181533836,Montería,2023
0,Construcción,60.45185499235999,0.011641221347508,563,11641.221347508,Montería,2023
9,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",51.66975611818418,0.022650821333999416,1144,22650.821333999418,Montería,2023
7,Alojamiento y servicios de comida,50.330123353453956,0.014041761638558085,729,14041.761638558084,Montería,2023
2,Transporte y almacenamiento,45.257180446880454,0.019175188615640666,906,19175.188615640665,Montería,2023
1,"Administración pública y defensa, educación y atención de la salud humana",92.15336437361896,0.024628284071810752,1539,24628.28407181075,Neiva,2023
7,"Suministro de electricidad, gas, agua y gestión de desechos^",85.13646174449408,0.00533904126701275,305,5339.04126701275,Neiva,2023
8,Industrias manufactureras,69.26856566139519,0.0103004466252895,645,10300.4466252895,Neiva,2023
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",68.37546961181613,0.015479880212868084,988,15479.880212868084,Neiva,2023
0,Comercio y reparación de vehículos,66.93758300928029,0.030272009156321583,1886,30272.009156321583,Neiva,2023
2,Construcción,62.64854631977958,0.012593004727673749,772,12593.00472767375,Neiva,2023
6,Transporte y almacenamiento,59.473970227282145,0.011142546320916918,686,11142.546320916917,Neiva,2023
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",58.01549887929526,0.011302949236952832,724,11302.949236952833,Neiva,2023
3,Alojamiento y servicios de comida,54.51917671728117,0.011097174383940584,706,11097.174383940583,Neiva,2023
6,"Administración pública y defensa, educación y atención de la salud humana",89.07392538129987,0.031066518725857084,2271,31066.518725857084,Pasto,2023
8,Construcción,62.358029012187664,0.0079135519542415,562,7913.5519542415,Pasto,2023
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",60.83254922892717,0.014924349748106,1114,14924.349748106,Pasto,2023
1,Comercio y reparación de vehículos,59.38807598073158,0.038610319832071416,2918,38610.319832071415,Pasto,2023
2,Industrias manufactureras,58.10003374526698,0.011342195389793332,843,11342.195389793333,Pasto,2023
0,Alojamiento y servicios de comida,52.01748896843766,0.011049586654696334,866,11049.586654696333,Pasto,2023
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",49.69089514312104,0.015203519051250081,1193,15203.519051250083,Pasto,2023
4,Transporte y almacenamiento,48.05978984966779,0.014754588039659667,1085,14754.588039659666,Pasto,2023
11,Actividades financieras y de seguros,92.55189385886298,0.0050667649942375825,235,5066.764994237583,Pereira A.M.,2023
6,"Administración pública y defensa, educación y atención de la salud humana",91.88643124265381,0.04004285569099667,1862,40042.855690996665,Pereira A.M.,2023
12,Información y comunicaciones,91.61599812506932,0.006880184155723,325,6880.184155723,Pereira A.M.,2023
0,Industrias manufactureras,80.67190853866137,0.0371832479477755,1569,37183.2479477755,Pereira A.M.,2023
10,"Actividades profesionales, científicas, técnicas y de servicios administrativos",77.90338994706887,0.03273322024752341,1510,32733.220247523415,Pereira A.M.,2023
8,Construcción,69.76031105648156,0.024756598888655498,1080,24756.5988886555,Pereira A.M.,2023
1,Comercio y reparación de vehículos,68.3327765283069,0.06161451088520617,2695,61614.51088520617,Pereira A.M.,2023
4,"Agricultura, ganadería, caza, silvicultura y pesca",67.45249393702771,0.005914582893161083,231,5914.582893161083,Pereira A.M.,2023
3,Transporte y almacenamiento,66.94760075701701,0.020258798276739667,838,20258.798276739668,Pereira A.M.,2023
7,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",58.81629206258769,0.027085521800351835,1252,27085.521800351835,Pereira A.M.,2023
2,Alojamiento y servicios de comida,55.61235107230241,0.02384921644277175,1024,23849.21644277175,Pereira A.M.,2023
3,"Administración pública y defensa, educación y atención de la salud humana",88.25343734892675,0.0285879845383145,2238,28587.9845383145,Popayán,2023
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",61.91232958410203,0.010594147360804499,887,10594.1473608045,Popayán,2023
2,Comercio y reparación de vehículos,54.47051547832498,0.026351887456019248,2197,26351.88745601925,Popayán,2023
7,Industrias manufactureras,54.290774986941706,0.006975290897534832,573,6975.290897534834,Popayán,2023
10,Construcción,54.19355505459996,0.009313492039286334,730,9313.492039286333,Popayán,2023
