index,Rama,ICE,Ocupados_M,Ciudad,Año
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",63.28156615363436,0.017953605245813246,Manizales A.M.,2022
9,Alojamiento y servicios de comida,57.71328414478598,0.013723791255952002,Manizales A.M.,2022
2,Actividades financieras y de seguros,95.3808028333848,0.04817101246053667,Medellín A.M.,2022
7,Información y comunicaciones,91.2689610928185,0.050315361440215825,Medellín A.M.,2022
1,"Administración pública y defensa, educación y atención de la salud humana",89.76764680775737,0.2078076266189092,Medellín A.M.,2022
12,Actividades inmobiliarias,86.0488587327198,0.026153595500631666,Medellín A.M.,2022
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",80.79690187960718,0.20022800730116916,Medellín A.M.,2022
3,Industrias manufactureras,79.72878398020255,0.3150779200125942,Medellín A.M.,2022
8,"Suministro de electricidad, gas, agua y gestión de desechos^",76.6624959406366,0.0313820235050325,Medellín A.M.,2022
9,Construcción,73.1441357930534,0.13241378636177414,Medellín A.M.,2022
11,"Agricultura, ganadería, caza, silvicultura y pesca",70.55658332184609,0.01068076314980667,Medellín A.M.,2022
0,Comercio y reparación de vehículos,68.95223061431041,0.3560399826326383,Medellín A.M.,2022
10,Transporte y almacenamiento,66.29560606161228,0.130407941238045,Medellín A.M.,2022
4,Alojamiento y servicios de comida,61.1894057633742,0.11086899440984249,Medellín A.M.,2022
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",60.58837186416229,0.16760278994281333,Medellín A.M.,2022
6,"Administración pública y defensa, educación y atención de la salud humana",93.61162967151279,0.026565532420622418,Montería,2022
7,Información y comunicaciones,87.5442605881569,0.0019474384503694166,Montería,2022
12,Actividades inmobiliarias,83.84443559466274,0.0011696099668175835,Montería,2022
10,Actividades financieras y de seguros,78.68611025518,0.0026077921857903335,Montería,2022
5,"Suministro de electricidad, gas, agua y gestión de desechos^",74.16870548596464,0.0029713171623326666,Montería,2022
9,"Actividades profesionales, científicas, técnicas y de servicios administrativos",69.99935100064212,0.011042065302193167,Montería,2022
11,"Agricultura, ganadería, caza, silvicultura y pesca",64.82350462283505,0.00149786414738975,Montería,2022
2,Industrias manufactureras,63.252123269430896,0.01099115264857825,Montería,2022
1,Comercio y reparación de vehículos,62.496103087929825,0.03541445340536267,Montería,2022
8,Construcción,57.32601951314681,0.012288359801202084,Montería,2022
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",51.72872630150673,0.018583850137024918,Montería,2022
0,Alojamiento y servicios de comida,50.067606898671876,0.011719292328286416,Montería,2022
3,Transporte y almacenamiento,44.93699116456726,0.01700800119327825,Montería,2022
12,Actividades financieras y de seguros,91.4889683552947,0.00253730681306225,Pasto,2022
3,"Administración pública y defensa, educación y atención de la salud humana",90.30462090291309,0.028315141433051583,Pasto,2022
7,Información y comunicaciones,84.03551709663297,0.0019281843644353331,Pasto,2022
5,Actividades inmobiliarias,70.89439389716817,0.0010851012406869168,Pasto,2022
9,Construcción,65.94457007035759,0.008395888212568167,Pasto,2022
10,"Suministro de electricidad, gas, agua y gestión de desechos^",64.45507949428718,0.002865899531012833,Pasto,2022
0,"Actividades profesionales, científicas, técnicas y de servicios administrativos",64.27557329545857,0.014209099452514917,Pasto,2022
