index,RAMA,Hombres,Mujeres,Total,Dist_%,Dist_H_%,Dist_M_%,Total_miles,Hombres_miles,Mujeres_miles,Ciudad,Año
1,Industrias manufactureras,98547.04283360609,71779.72851702808,170326.77135063417,15.3,17.0,13.4,170,99,72,Cali A.M.,2025
2,"Administración pública y defensa, educación y atención de la salud humana",56140.834073022415,97991.80301809341,154132.63709111582,13.8,9.7,18.4,154,56,98,Cali A.M.,2025
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",34247.064452378334,84760.33088989517,119007.39534227349,10.7,5.9,15.9,119,34,85,Cali A.M.,2025
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",38743.644777852336,57766.98072838875,96510.62550624108,8.7,6.7,10.8,97,39,58,Cali A.M.,2025
5,Alojamiento y servicios de comida,31092.553209585833,59500.33949473817,90592.892704324,8.1,5.3,11.1,91,31,60,Cali A.M.,2025
6,Transporte y almacenamiento,71901.087469847,10078.610418221167,81979.69788806817,7.4,12.4,1.9,82,72,10,Cali A.M.,2025
7,Construcción,69275.38838803708,5867.793146095833,75143.18153413292,6.7,11.9,1.1,75,69,6,Cali A.M.,2025
8,Información y comunicaciones,16397.768877051665,6814.259463165,23212.028340216664,2.1,2.8,1.3,23,16,7,Cali A.M.,2025
9,Actividades financieras y de seguros,9143.590442534167,14043.55850189225,23187.148944426415,2.1,1.6,2.6,23,9,14,Cali A.M.,2025
10,Actividades inmobiliarias,15683.234937948333,7246.8257862058335,22930.060724154166,2.1,2.7,1.4,23,16,7,Cali A.M.,2025
11,"Suministro de electricidad, gas, agua y gestión de desechos^",13064.278196671417,4724.30551814275,17788.583714814165,1.6,2.2,0.9,18,13,5,Cali A.M.,2025
12,"Agricultura, ganadería, caza, silvicultura y pesca",4352.9511570625,3357.8138915775,7710.76504864,0.7,0.7,0.6,8,4,3,Cali A.M.,2025
0,Comercio y reparación de vehículos,41653.85417194667,36314.329487195835,77968.1836591425,18.6,17.4,20.3,78,42,36,Cartagena,2025
1,Transporte y almacenamiento,54183.18543959333,4363.385634973333,58546.571074566666,14.0,22.6,2.4,59,54,4,Cartagena,2025
2,"Administración pública y defensa, educación y atención de la salud humana",18917.859583459165,34928.37930551667,53846.23888897583,12.9,7.9,19.5,54,19,35,Cartagena,2025
3,Alojamiento y servicios de comida,19228.145903731667,30116.82866581,49344.974569541664,11.8,8.0,16.8,49,19,30,Cartagena,2025
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",13549.377299595833,35257.736071969164,48807.113371565,11.7,5.7,19.7,49,14,35,Cartagena,2025
5,Construcción,32729.860095184165,2715.0940724516668,35444.954167635835,8.5,13.7,1.5,35,33,3,Cartagena,2025
6,Industrias manufactureras,22900.612008085835,10923.8172910525,33824.42929913833,8.1,9.6,6.1,34,23,11,Cartagena,2025
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",17597.6088088975,16158.126462091666,33755.73527098917,8.1,7.3,9.0,34,18,16,Cartagena,2025
8,"Suministro de electricidad, gas, agua y gestión de desechos^",7121.0974043975,2006.1634726816667,9127.260877079167,2.2,3.0,1.1,9,7,2,Cartagena,2025
9,Actividades inmobiliarias,5474.487746265,2267.240122413333,7741.727868678334,1.8,2.3,1.3,8,5,2,Cartagena,2025
10,Actividades financieras y de seguros,1898.5825130341666,2582.4871627633333,4481.0696757975,1.1,0.8,1.4,4,2,3,Cartagena,2025
11,Información y comunicaciones,2864.4596669258335,1417.0872713891667,4281.546938315,1.0,1.2,0.8,4,3,1,Cartagena,2025
12,"Agricultura, ganadería, caza, silvicultura y pesca",1440.71026475,163.29995187666668,1604.0102166266668,0.4,0.6,0.1,2,1,0,Cartagena,2025
0,Comercio y reparación de vehículos,63817.36375273,45350.5206675025,109167.8844202325,25.3,25.6,24.8,109,64,45,Cúcuta A.M.,2025
1,Industrias manufactureras,40577.326249615835,23161.4752601625,63738.801509778335,14.8,16.3,12.6,64,41,23,Cúcuta A.M.,2025
2,"Administración pública y defensa, educación y atención de la salud humana",19365.0502468175,32207.351554774166,51572.401801591666,11.9,7.8,17.6,52,19,32,Cúcuta A.M.,2025
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",12972.1069228275,23601.162167099166,36573.26908992667,8.5,5.2,12.9,37,13,24,Cúcuta A.M.,2025
4,Transporte y almacenamiento,32843.1596702475,2775.2677479583335,35618.427418205836,8.2,13.2,1.5,36,33,3,Cúcuta A.M.,2025
5,Alojamiento y servicios de comida,11976.149748820833,23602.745215188334,35578.89496400917,8.2,4.8,12.9,36,12,24,Cúcuta A.M.,2025
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",12276.657899390833,21632.217363557498,33908.875262948335,7.9,4.9,11.8,34,12,22,Cúcuta A.M.,2025
7,Construcción,31197.07504471667,1699.6385976225,32896.71364233917,7.6,12.5,0.9,33,31,2,Cúcuta A.M.,2025
8,"Suministro de electricidad, gas, agua y gestión de desechos^",8633.990805433334,2351.2918213525,10985.282626785833,2.5,3.5,1.3,11,9,2,Cúcuta A.M.,2025
9,Actividades financieras y de seguros,3219.0749704708333,3010.198302261667,6229.2732727325,1.4,1.3,1.6,6,3,3,Cúcuta A.M.,2025
10,"Agricultura, ganadería, caza, silvicultura y pesca",5058.579055206666,646.9939706366667,5705.573025843333,1.3,2.0,0.4,6,5,1,Cúcuta A.M.,2025
11,Actividades inmobiliarias,3900.7154968966665,1188.96196435,5089.677461246667,1.2,1.6,0.6,5,4,1,Cúcuta A.M.,2025
12,Información y comunicaciones,2971.352447728333,1891.0575274116666,4862.40997514,1.1,1.2,1.0,5,3,2,Cúcuta A.M.,2025
0,Comercio y reparación de vehículos,9413.456438052084,6486.69984603825,15900.156284090335,23.5,24.6,22.0,16,9,6,Florencia,2025
1,"Administración pública y defensa, educación y atención de la salud humana",7007.9574899355,7850.310835171167,14858.268325106666,21.9,18.3,26.7,15,7,8,Florencia,2025
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",2066.1230854874166,4306.88317051175,6373.006255999167,9.4,5.4,14.6,6,2,4,Florencia,2025
3,Transporte y almacenamiento,5565.498102125417,415.82227727125,5981.320379396667,8.8,14.5,1.4,6,6,0,Florencia,2025
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",2090.42826547,3710.6130837768333,5801.041349246833,8.6,5.5,12.6,6,2,4,Florencia,2025
5,Alojamiento y servicios de comida,1575.8093900125834,3974.3452915881667,5550.15468160075,8.2,4.1,13.5,6,2,4,Florencia,2025
6,Construcción,4866.809197520417,263.53703186925003,5130.346229389667,7.6,12.7,0.9,5,5,0,Florencia,2025
