Año,MES,Ciudad,Periodo_Meses,FT_Pob,Desocupados_Pob,Ocupados_Pob,SIH_Pob,Subocupados_Pob,FTP_Pob,Desocupados_Duracion_Valida_Pob,Desocupados_52_Semanas_Pob,Asalariados_Pob,Contrato_Escrito_Pob,Contrato_Indefinido_Pob,Prestaciones_Completas_Pob,Cotizantes_Pension_Pob,Proteccion_Integral_Pob,Jovenes_15_28_Validos_Pob,NINI_Pob,NINI_Desocupados_Pob,NINI_Fuera_FT_Pob,Jovenes_15_24_Validos_Pob,NINI_15_24_Pob,Sobrecalificacion_Validos_Pob,Sobrecalificados_Pob,Ingresos_Validos_Pob,Ingresos_Bajo_SMMLV_Pob,Tasa_Subocupacion_%,Tasa_Insuficiencia_Horas_%,Tasa_Subutilizacion_LU2_%,Tasa_Subutilizacion_LU3_%,Tasa_Subutilizacion_LU4_%,Desempleo_Larga_Duracion_%,Contrato_Escrito_%,Contrato_Indefinido_%,Prestaciones_Completas_%,Cotiza_Pension_%,Proteccion_Integral_%,Tasa_NINI_15_28_%,Tasa_NINI_15_24_%,NINI_Desocupados_%,NINI_Fuera_FT_%,Sobrecalificacion_%,Ingreso_Bajo_SMMLV_%,Ingreso_Real_Mediano_COP_2018,Duracion_Desempleo_Mediana_Semanas
2022,10,Bogotá D.C.,1,4227810.6988029,390429.78219349997,3837380.9166094,93005.1670434,275600.7334283,200607.2926863,390429.78219349997,78477.19231690001,2611931.1182146,2111268.4729503,1727323.6303819,669571.5988616,2434353.9818224004,639375.1340578999,1776119.1199665,271589.68546059995,133696.5043317,137893.18112889997,1175958.9999992,169271.2333107,3828959.1048494,1102602.0169348002,3673400.7148006,725903.1997331,6.518757651716434,2.199842274625359,11.43464037720005,13.34646088096676,15.446650321578348,20.1002064637595,80.83170563829684,81.81449458050812,25.635117028633186,63.437902953176874,24.47901974133791,15.291186407909537,14.394314198948699,7.527451443359368,7.763734964550172,28.796390526562377,19.761067634367887,1012063.8005019836,16.0
2022,11,Bogotá D.C.,1,4351369.8021614,384059.65334659995,3967310.1488148,127257.388821,287185.360183,226233.90295539997,384059.65334659995,61178.1758529,2738838.2953943997,2331760.2547033,1754232.0946598,1009565.9666215,2678856.4839326,970631.4396572,1653030.9984754,280615.78115130006,98115.1020268,182500.67912450002,1173016.9999990999,209122.4762476,3932874.5159051996,1204205.8260618001,3674251.641572,625964.7106599999,6.5998840190587815,2.924536286430748,11.750714497159493,13.332162319333582,16.112162446447098,15.929342048769938,85.13683551980277,75.23209520024234,36.86110159621965,67.52324329200441,35.43953074153385,16.97583296442194,17.827744717063815,5.935466553095019,11.040366411326916,30.61897401485329,17.036522582655383,1004338.7433713643,12.0
2022,12,Bogotá D.C.,12,51646814.4489205,5896856.6267769,45749957.82214359,1101378.7964314,3075870.5139655,2581419.4813419,5896856.6267769,1354316.2747209,30931910.5150141,26349728.804971803,20785885.0406281,12961119.718405498,30026861.061194297,12467771.7760108,21029628.0148469,4194828.3845313,1879830.5906515,2314997.7938798,14239414.9999978,2887599.8777612,45606279.150492996,14931278.816167701,42956094.3611233,8978205.3094227,5.95558612236885,2.132520288391999,13.550178259551057,15.634431538046911,17.66543774386909,22.96674924350571,85.18623119700885,78.88462607898308,41.90209884421551,65.63254370184555,40.30715066875369,19.947230552864532,20.278922116966505,8.938962635593656,11.00826791727088,32.73952423721525,20.900888320862514,1032169.2757612248,15.0
2023,1,Bogotá D.C.,12,51700821.57125491,5867342.3191967,45833479.25205819,1152921.5707047,3174930.4489799,2659045.1209378,5867342.3191967,1233049.5018272,31031828.3693383,26360936.630666602,20746104.6962652,12459497.946239699,29988312.505723104,11987576.634844402,21101144.667917997,4133788.4631890003,1823105.8012825,2310682.6619065003,14203074.999997798,2815833.0274066003,45696945.0916368,14862267.1165277,43345599.918610305,9358110.8199142,6.140967111333347,2.2299869434680546,13.57863120265112,15.685077905754097,17.805983715242192,21.0154689252223,84.94806144491673,78.7001804485601,40.150705262828104,65.42883716246885,38.62993985455591,19.59035174747642,19.825516850449898,8.639843145828646,10.950508601647773,32.52354634806367,21.589528896787336,1032169.2757612248,12.0
2023,2,Bogotá D.C.,12,51742579.1726072,5788690.527355201,45953888.64525199,1163300.7970369998,3209843.7250059,2591645.8278297,5788690.527355201,1145541.9681893,30967893.00130119,26200423.4266642,20609146.7131112,12055751.8961402,29882482.5383086,11597197.512262601,21062014.932192698,4074031.0206591007,1772011.1300666998,2302019.8905924,14167120.9999983,2807305.2073332,45828494.3340792,14735708.4674637,43729962.58343659,9654389.6211945,6.203486135274078,2.2482466387235247,13.435726311982188,15.42367882327854,17.564688098790697,19.789310946506717,84.6051212640244,78.65959407410664,38.92984225834689,65.02710307933015,37.44910095037889,19.343025981963667,19.815636552645643,8.41330298061004,10.929723001353622,32.15403141993662,22.077287632647668,1020160.3109059994,12.0
2023,3,Bogotá D.C.,12,51913330.35410891,5663919.701541301,46249410.652567595,1227761.8454512998,3285781.0651542,2521307.9094713,5663919.701541301,1012510.3927205001,31176375.224662,26314848.243221104,20699927.2155618,11302888.155551098,30130218.3326902,10884061.4948494,21029237.1248033,4009211.8048494,1738599.4127342,2270612.3921152,14131508.9999984,2754984.4230941003,46109009.8898386,14667932.110257199,44019122.3505198,9939163.5968581,6.329359035032766,2.365022311372715,13.27536010497375,15.036799861475284,17.292278881114036,17.876496244199394,84.40637519144562,78.66253692302502,36.25465781092465,65.14724816502604,34.911247431483275,19.064941733529007,19.4953307753221,8.267534397068445,10.797407336460562,31.81142285488478,22.579195281799464,1013487.1754892024,12.0
2023,4,Bogotá D.C.,12,51986121.269426,5655854.3959196005,46330266.873506404,1293566.948331,3425424.8269493002,2521393.9449079,5655854.3959196005,974529.8927274,31126518.300339803,26235838.307118,20604292.143917702,10625881.210822,30099279.4623541,10217053.1077839,20946395.975693103,3973233.993416,1724850.2240769002,2248383.7693391,14096255.999997798,2745163.4352955003,46211610.9328014,14553742.266794901,44044613.630811706,10158547.068717599,6.589114062186932,2.4882928688349186,13.367839674428037,15.002056704792002,17.375246792882514,17.23046288869232,84.28773836497989,78.53491054001346,34.13771212151922,64.96677332883255,32.8242722465762,18.968580552123015,19.474415300743182,8.234591889117699,10.733988663005318,31.493691678392732,23.064221096064102,1010951.9797809604,12.0
2023,5,Bogotá D.C.,12,52151066.36463711,5737564.9764149,46413501.3882222,1319361.7484603,3515921.6140291006,2554690.2610641,5737564.9764149,981738.6487207001,31342697.988331404,26349306.4220024,20719912.8812263,9946474.0699522,30174281.4212844,9573294.084085202,20921504.487106197,3939348.7882605996,1692177.5116302,2247171.2766303997,14061313.9999972,2739780.0761786005,46308598.14510441,14626961.9875416,44096290.738307506,10362172.190677699,6.7418019594191785,2.5298845075101677,13.531701682825803,15.157920754510199,17.569662826715547,17.11071949086904,84.06840544426649,78.63551529358132,31.734581603840166,65.01186189099141,30.543937499092294,18.82918501720752,19.484523823158675,8.088220962661072,10.740964054546453,31.585844904458444,23.49896559820128,1012145.7489878543,12.0
2023,6,Bogotá D.C.,12,52346873.1511371,5570157.9939754,46776715.157161705,1359143.3221887997,3603841.0571953002,2637692.1264962,5570157.9939754,880620.8736948,31746073.235611398,26606996.624043703,20912336.580727804,9205679.2833841,30531332.029095203,8867359.6061463,20961636.5338305,3887862.7591493,1666634.3129235,2221228.4462258,14026639.9999964,2703961.4444614,46667552.3179859,14689813.2544154,44306262.2006067,10425331.9820221,6.884539305318595,2.596417398732967,13.237278368390335,14.927552994240735,17.39941635321444,15.809621103158408,83.81192983010291,78.59713321356287,28.99785184473637,65.27036352705655,27.932146254231128,18.54751537588481,19.277328315705645,7.950878788656018,10.596636587228792,31.477573870429616,23.53015457458143,1013487.1754892024,12.0
2023,7,Bogotá D.C.,12,52781581.46980591,5576373.4223035,47205208.047502406,1443519.6769216997,3738471.3433941,2673564.4030551002,5576373.4223035,865670.1462072,32085973.061931398,26966620.7480822,21195054.533534396,8206926.1975184,30967249.172070805,7892980.7437953,20961387.5391208,3811505.828201,1661834.992724,2149670.8354769996,13992157.9999961,2670749.6814354,47105781.712464206,14874711.5721526,44635533.572595,10501092.3130233,7.082908922561784,2.7348928105677843,13.299891560166646,14.876775988062102,17.479816074244866,15.523891257799002,84.04488994624543,78.59736943510705,25.577925225074626,65.60134030318983,24.599474444987226,18.183461476905975,19.08747515169672,7.92807723068176,10.255384246224212,31.57725236988636,23.52630622404094,1024512.4079836077,12.0
