index,Rama,ICF,Cotiza_pension_%,Ingreso_SML_%,Afiliado_salud_%,CV_%,Clasificacion_Precision,Ciudad,Año
10,Actividades financieras y de seguros,81.2,69.3,77.9,96.6,1.0,✅ Precisión alta,Cúcuta A.M.,2025
3,"Suministro de electricidad, gas, agua y gestión de desechos^",75.6,65.8,65.7,95.3,1.1,✅ Precisión alta,Cúcuta A.M.,2025
11,"Agricultura, ganadería, caza, silvicultura y pesca",59.6,34.9,46.0,97.9,2.1,✅ Precisión alta,Cúcuta A.M.,2025
1,Comercio y reparación de vehículos,57.9,32.0,50.3,91.5,2.3,✅ Precisión alta,Cúcuta A.M.,2025
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",53.0,26.4,40.1,92.4,2.6,✅ Precisión alta,Cúcuta A.M.,2025
7,Industrias manufactureras,51.3,23.5,38.9,91.3,2.8,✅ Precisión alta,Cúcuta A.M.,2025
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",49.3,19.0,37.3,91.6,3.2,✅ Precisión alta,Cúcuta A.M.,2025
0,Construcción,48.5,17.8,38.2,89.6,3.3,✅ Precisión alta,Cúcuta A.M.,2025
6,Transporte y almacenamiento,48.5,18.7,35.5,91.3,3.2,✅ Precisión alta,Cúcuta A.M.,2025
5,Alojamiento y servicios de comida,44.8,14.6,30.0,89.8,3.8,✅ Precisión alta,Cúcuta A.M.,2025
5,"Administración pública y defensa, educación y atención de la salud humana",94.8,94.5,90.1,99.8,0.4,✅ Precisión alta,Florencia,2025
1,Comercio y reparación de vehículos,60.8,37.5,47.5,97.3,2.2,✅ Precisión alta,Florencia,2025
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",56.7,32.6,40.0,97.3,2.5,✅ Precisión alta,Florencia,2025
2,Construcción,51.4,18.7,39.1,96.4,3.6,✅ Precisión alta,Florencia,2025
4,Transporte y almacenamiento,48.2,18.4,29.7,96.4,3.7,✅ Precisión alta,Florencia,2025
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",47.5,15.5,28.9,98.1,4.1,✅ Precisión alta,Florencia,2025
0,Alojamiento y servicios de comida,43.1,9.3,23.1,97.0,5.4,✅ Precisión alta,Florencia,2025
1,"Administración pública y defensa, educación y atención de la salud humana",95.1,91.3,94.1,100.0,0.5,✅ Precisión alta,Ibagué,2025
6,"Suministro de electricidad, gas, agua y gestión de desechos^",87.1,80.8,81.2,99.3,0.8,✅ Precisión alta,Ibagué,2025
8,Industrias manufactureras,70.7,46.9,65.6,99.7,1.8,✅ Precisión alta,Ibagué,2025
2,Comercio y reparación de vehículos,68.3,44.6,61.4,99.0,1.9,✅ Precisión alta,Ibagué,2025
0,Transporte y almacenamiento,60.7,33.4,49.6,99.3,2.4,✅ Precisión alta,Ibagué,2025
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",59.5,33.5,45.8,99.3,2.4,✅ Precisión alta,Ibagué,2025
3,Construcción,59.3,20.9,58.0,99.0,3.3,✅ Precisión alta,Ibagué,2025
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",58.3,27.9,47.5,99.5,2.7,✅ Precisión alta,Ibagué,2025
4,Alojamiento y servicios de comida,49.5,16.3,34.9,97.3,3.8,✅ Precisión alta,Ibagué,2025
10,Actividades financieras y de seguros,94.3,90.5,93.0,99.6,0.4,✅ Precisión alta,Manizales A.M.,2025
0,"Administración pública y defensa, educación y atención de la salud humana",94.0,91.6,90.9,99.5,0.4,✅ Precisión alta,Manizales A.M.,2025
3,Información y comunicaciones,91.8,88.6,87.0,99.8,0.5,✅ Precisión alta,Manizales A.M.,2025
1,Industrias manufactureras,86.9,80.5,82.0,98.3,0.6,✅ Precisión alta,Manizales A.M.,2025
5,"Suministro de electricidad, gas, agua y gestión de desechos^",86.3,80.6,79.7,98.7,0.6,✅ Precisión alta,Manizales A.M.,2025
9,"Actividades profesionales, científicas, técnicas y de servicios administrativos",80.2,69.7,72.5,98.4,0.9,✅ Precisión alta,Manizales A.M.,2025
7,Transporte y almacenamiento,74.0,59.6,65.7,96.7,1.1,✅ Precisión alta,Manizales A.M.,2025
8,Construcción,73.5,51.5,73.8,95.2,1.3,✅ Precisión alta,Manizales A.M.,2025
4,Comercio y reparación de vehículos,69.0,48.8,61.6,96.7,1.3,✅ Precisión alta,Manizales A.M.,2025
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",60.8,35.3,51.3,95.9,1.8,✅ Precisión alta,Manizales A.M.,2025
2,Alojamiento y servicios de comida,57.0,28.1,49.5,93.5,2.1,✅ Precisión alta,Manizales A.M.,2025
10,Actividades financieras y de seguros,94.2,92.5,90.5,99.5,0.4,✅ Precisión alta,Medellín A.M.,2025
7,Información y comunicaciones,92.6,91.6,88.6,97.6,0.4,✅ Precisión alta,Medellín A.M.,2025
2,"Administración pública y defensa, educación y atención de la salud humana",91.8,89.2,87.6,98.6,0.4,✅ Precisión alta,Medellín A.M.,2025
6,Actividades inmobiliarias,90.1,88.0,83.3,99.0,0.5,✅ Precisión alta,Medellín A.M.,2025
9,"Actividades profesionales, científicas, técnicas y de servicios administrativos",80.7,70.2,74.4,97.6,0.8,✅ Precisión alta,Medellín A.M.,2025
12,"Suministro de electricidad, gas, agua y gestión de desechos^",80.1,72.9,71.3,96.1,0.8,✅ Precisión alta,Medellín A.M.,2025
0,Industrias manufactureras,79.6,70.2,72.3,96.3,0.8,✅ Precisión alta,Medellín A.M.,2025
11,"Agricultura, ganadería, caza, silvicultura y pesca",73.0,55.8,68.2,95.1,1.1,✅ Precisión alta,Medellín A.M.,2025
1,Construcción,71.5,54.3,67.9,92.3,1.1,✅ Precisión alta,Medellín A.M.,2025
4,Comercio y reparación de vehículos,69.0,53.3,60.1,93.6,1.2,✅ Precisión alta,Medellín A.M.,2025
5,Transporte y almacenamiento,67.6,46.6,65.4,90.8,1.3,✅ Precisión alta,Medellín A.M.,2025
8,Alojamiento y servicios de comida,62.7,43.2,54.2,90.8,1.4,✅ Precisión alta,Medellín A.M.,2025
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",62.5,40.3,53.4,93.6,1.5,✅ Precisión alta,Medellín A.M.,2025
0,"Administración pública y defensa, educación y atención de la salud humana",97.4,95.5,96.6,100.0,0.8,✅ Precisión alta,Mocoa,2025
0,"Administración pública y defensa, educación y atención de la salud humana",93.2,89.8,89.8,100.0,0.6,✅ Precisión alta,Montería,2025
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",65.3,41.8,55.0,99.3,2.1,✅ Precisión alta,Montería,2025
5,Comercio y reparación de vehículos,59.1,34.3,45.5,97.6,2.4,✅ Precisión alta,Montería,2025
1,Industrias manufactureras,57.9,32.9,42.4,98.5,2.5,✅ Precisión alta,Montería,2025
4,Construcción,48.3,17.7,29.6,97.6,3.8,✅ Precisión alta,Montería,2025
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",43.7,10.5,21.5,99.0,5.1,✅ Precisión alta,Montería,2025
3,Alojamiento y servicios de comida,43.1,10.8,21.3,97.2,5.0,✅ Precisión alta,Montería,2025
2,Transporte y almacenamiento,40.5,9.9,14.4,97.2,5.3,✅ Precisión alta,Montería,2025
3,"Administración pública y defensa, educación y atención de la salud humana",88.0,85.6,79.3,99.0,0.6,✅ Precisión alta,Pasto,2025
4,Comercio y reparación de vehículos,54.2,32.9,34.5,95.1,2.0,✅ Precisión alta,Pasto,2025
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",53.7,30.8,35.0,95.4,2.1,✅ Precisión alta,Pasto,2025
7,Construcción,53.3,30.1,36.9,92.8,2.2,✅ Precisión alta,Pasto,2025
6,Industrias manufactureras,48.9,22.6,29.8,94.3,2.6,✅ Precisión alta,Pasto,2025
2,Alojamiento y servicios de comida,47.5,20.2,28.7,93.6,2.8,✅ Precisión alta,Pasto,2025
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",44.7,17.8,21.8,94.5,3.1,✅ Precisión alta,Pasto,2025
1,Transporte y almacenamiento,43.1,17.8,18.4,93.1,3.1,✅ Precisión alta,Pasto,2025
0,Actividades financieras y de seguros,94.9,91.9,94.0,98.8,0.4,✅ Precisión alta,Pereira A.M.,2025
3,"Administración pública y defensa, educación y atención de la salud humana",91.8,90.0,86.5,98.8,0.5,✅ Precisión alta,Pereira A.M.,2025
10,Información y comunicaciones,91.0,88.5,85.6,99.0,0.5,✅ Precisión alta,Pereira A.M.,2025
9,Actividades inmobiliarias,84.2,80.3,73.6,98.8,0.7,✅ Precisión alta,Pereira A.M.,2025
4,Industrias manufactureras,79.0,70.5,69.6,96.9,0.9,✅ Precisión alta,Pereira A.M.,2025
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",72.6,63.3,57.1,97.5,1.0,✅ Precisión alta,Pereira A.M.,2025
8,Construcción,71.5,51.8,67.3,95.3,1.3,✅ Precisión alta,Pereira A.M.,2025
5,"Agricultura, ganadería, caza, silvicultura y pesca",69.0,58.2,54.3,94.7,1.2,✅ Precisión alta,Pereira A.M.,2025
1,Transporte y almacenamiento,68.3,49.4,61.3,94.4,1.4,✅ Precisión alta,Pereira A.M.,2025
2,Comercio y reparación de vehículos,67.8,49.9,57.2,96.4,1.4,✅ Precisión alta,Pereira A.M.,2025
7,Alojamiento y servicios de comida,56.7,31.8,47.7,90.6,2.0,✅ Precisión alta,Pereira A.M.,2025
11,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",55.9,28.3,44.9,94.5,2.2,✅ Precisión alta,Pereira A.M.,2025
0,"Administración pública y defensa, educación y atención de la salud humana",90.6,88.7,83.5,99.7,0.6,✅ Precisión alta,Popayán,2025
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",56.6,33.8,37.8,98.2,2.3,✅ Precisión alta,Popayán,2025
1,Comercio y reparación de vehículos,53.8,30.8,34.6,96.0,2.5,✅ Precisión alta,Popayán,2025
3,Industrias manufactureras,50.0,23.8,28.7,97.3,3.0,✅ Precisión alta,Popayán,2025
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",48.6,19.7,29.1,97.0,3.4,✅ Precisión alta,Popayán,2025
5,Construcción,48.4,20.6,29.8,94.9,3.3,✅ Precisión alta,Popayán,2025
4,Transporte y almacenamiento,43.6,16.5,18.5,95.8,3.8,✅ Precisión alta,Popayán,2025
7,Alojamiento y servicios de comida,41.3,11.2,16.5,96.1,4.7,✅ Precisión alta,Popayán,2025
0,"Administración pública y defensa, educación y atención de la salud humana",92.6,90.7,87.2,100.0,0.6,✅ Precisión alta,Quibdó,2025
1,Comercio y reparación de vehículos,56.1,35.6,34.8,97.9,2.5,✅ Precisión alta,Quibdó,2025
3,"Administración pública y defensa, educación y atención de la salud humana",91.0,88.2,85.1,99.6,0.7,✅ Precisión alta,Riohacha,2025
1,Comercio y reparación de vehículos,48.9,18.3,33.2,95.2,3.9,✅ Precisión alta,Riohacha,2025
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",47.7,18.0,28.9,96.3,3.9,✅ Precisión alta,Riohacha,2025
0,Transporte y almacenamiento,42.8,10.4,23.8,94.1,5.4,✅ Precisión alta,Riohacha,2025
4,Alojamiento y servicios de comida,42.8,11.8,22.7,93.9,5.0,✅ Precisión alta,Riohacha,2025
0,Alojamiento y servicios de comida,90.6,82.2,90.0,99.7,1.2,✅ Precisión alta,San Andrés,2025
0,"Administración pública y defensa, educación y atención de la salud humana",93.4,88.6,91.6,100.0,1.1,✅ Precisión alta,San José del Guaviare,2025
0,"Administración pública y defensa, educación y atención de la salud humana",91.5,86.6,88.2,99.7,0.6,✅ Precisión alta,Santa Marta,2025
6,Industrias manufactureras,62.4,36.8,54.6,95.7,2.1,✅ Precisión alta,Santa Marta,2025
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",62.0,36.7,51.9,97.4,2.1,✅ Precisión alta,Santa Marta,2025
5,Comercio y reparación de vehículos,59.9,33.7,49.2,96.7,2.2,✅ Precisión alta,Santa Marta,2025
2,Alojamiento y servicios de comida,57.8,34.7,43.9,94.8,2.2,✅ Precisión alta,Santa Marta,2025
3,Transporte y almacenamiento,55.9,27.1,44.1,96.3,2.6,✅ Precisión alta,Santa Marta,2025
7,Construcción,50.6,20.5,36.6,94.7,3.1,✅ Precisión alta,Santa Marta,2025
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",48.8,16.9,33.7,95.7,3.5,✅ Precisión alta,Santa Marta,2025
1,"Administración pública y defensa, educación y atención de la salud humana",89.3,84.3,83.8,99.9,0.7,✅ Precisión alta,Sincelejo,2025
2,Comercio y reparación de vehículos,54.3,28.5,34.7,99.7,2.6,✅ Precisión alta,Sincelejo,2025
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",53.3,27.5,32.5,99.9,2.6,✅ Precisión alta,Sincelejo,2025
5,Industrias manufactureras,48.3,19.9,25.3,99.6,3.3,✅ Precisión alta,Sincelejo,2025
6,Construcción,43.5,14.0,17.2,99.4,4.0,✅ Precisión alta,Sincelejo,2025
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",40.8,9.1,13.6,99.7,5.2,✅ Precisión alta,Sincelejo,2025
4,Transporte y almacenamiento,39.9,7.6,12.5,99.6,5.7,✅ Precisión alta,Sincelejo,2025
0,Alojamiento y servicios de comida,39.8,8.2,11.9,99.2,5.5,✅ Precisión alta,Sincelejo,2025
11,Actividades financieras y de seguros,91.6,87.9,87.9,98.9,0.1,✅ Precisión alta,Todas (Panorama Nacional),2025
6,"Administración pública y defensa, educación y atención de la salud humana",91.1,88.1,85.8,99.3,0.1,✅ Precisión alta,Todas (Panorama Nacional),2025
12,Información y comunicaciones,90.9,87.6,86.9,98.2,0.1,✅ Precisión alta,Todas (Panorama Nacional),2025
3,Actividades inmobiliarias,88.6,84.2,82.8,98.8,0.1,✅ Precisión alta,Todas (Panorama Nacional),2025
8,"Actividades profesionales, científicas, técnicas y de servicios administrativos",70.7,55.1,59.7,97.1,0.2,✅ Precisión alta,Todas (Panorama Nacional),2025
4,Industrias manufactureras,69.5,53.6,59.0,96.0,0.2,✅ Precisión alta,Todas (Panorama Nacional),2025
10,"Suministro de electricidad, gas, agua y gestión de desechos^",69.1,53.6,59.1,94.6,0.2,✅ Precisión alta,Todas (Panorama Nacional),2025
2,Comercio y reparación de vehículos,59.7,36.8,47.6,94.9,0.3,✅ Precisión alta,Todas (Panorama Nacional),2025
